UserID,ProblemID,Difficulty,Topic,Solved
1,1173,Easy,Greedy,1
1,1055,Medium,Math,1
1,1131,Medium,DP,1
1,1122,Medium,Trees,0
1,1189,Hard,Strings,1
1,1044,Medium,Trees,1
1,1169,Easy,Graphs,1
1,1022,Medium,Graphs,1
1,1073,Easy,Sorting,1
1,1132,Hard,Graphs,0
1,1170,Easy,Arrays,1
1,1163,Hard,Greedy,0
1,1159,Hard,Greedy,1
1,1086,Hard,Graphs,0
1,1024,Hard,Graphs,0
1,1061,Medium,Graphs,0
1,1200,Medium,Strings,0
1,1080,Easy,Greedy,1
1,1058,Easy,Arrays,0
1,1051,Medium,Trees,0
1,1038,Easy,Greedy,1
1,1007,Easy,Arrays,0
1,1012,Medium,Strings,1
1,1063,Hard,Greedy,0
1,1197,Medium,Math,0
1,1157,Medium,Arrays,0
1,1019,Hard,Trees,0
1,1117,Easy,Graphs,1
1,1107,Hard,DP,0
1,1162,Hard,DP,0
1,1148,Hard,Arrays,0
1,1050,Hard,Trees,1
1,1099,Medium,DP,1
1,1127,Easy,Math,1
1,1103,Easy,Arrays,1
1,1177,Easy,Trees,0
1,1180,Hard,Math,0
1,1002,Medium,Greedy,0
1,1028,Easy,Strings,0
1,1109,Easy,Sorting,0
1,1057,Easy,Trees,1
1,1046,Easy,DP,0
1,1133,Hard,Strings,0
1,1119,Medium,Greedy,0
1,1013,Easy,Greedy,1
1,1143,Medium,Greedy,1
1,1064,Easy,DP,0
1,1032,Medium,Greedy,1
1,1184,Medium,Graphs,1
1,1035,Medium,Arrays,1
1,1175,Easy,Math,1
1,1136,Medium,Arrays,1
1,1144,Medium,Math,0
1,1082,Medium,Greedy,1
1,1114,Medium,Arrays,0
1,1130,Easy,Greedy,1
1,1110,Easy,Sorting,0
1,1141,Medium,DP,1
1,1115,Easy,Sorting,1
1,1041,Easy,Sorting,1
1,1176,Hard,Math,0
1,1116,Medium,DP,1
1,1067,Easy,Strings,1
1,1154,Easy,DP,0
1,1071,Easy,Sorting,1
1,1134,Easy,Sorting,1
1,1125,Medium,Strings,1
1,1062,Hard,Math,0
1,1149,Easy,DP,1
1,1113,Medium,Arrays,1
1,1020,Easy,Math,1
2,1120,Medium,Greedy,1
2,1180,Hard,Math,0
2,1066,Medium,Sorting,0
2,1197,Medium,Math,0
2,1095,Medium,Graphs,0
2,1043,Easy,Math,1
2,1156,Medium,DP,0
2,1194,Medium,Greedy,0
2,1192,Medium,Trees,1
2,1184,Medium,Graphs,0
2,1030,Medium,Graphs,0
2,1042,Easy,DP,1
2,1080,Easy,Greedy,1
2,1028,Easy,Strings,0
2,1149,Easy,DP,1
2,1007,Easy,Arrays,0
2,1188,Easy,Graphs,0
2,1148,Hard,Arrays,1
2,1174,Easy,Greedy,0
2,1097,Hard,Graphs,0
2,1102,Medium,Graphs,0
2,1051,Medium,Trees,0
2,1020,Easy,Math,1
2,1152,Medium,Trees,1
2,1161,Easy,Trees,0
2,1063,Hard,Greedy,1
2,1027,Medium,Strings,1
2,1078,Hard,Strings,0
2,1154,Easy,DP,1
2,1031,Medium,DP,0
2,1145,Medium,Math,0
2,1011,Hard,DP,0
2,1089,Medium,Sorting,1
2,1137,Medium,Math,0
2,1110,Easy,Sorting,1
2,1196,Medium,DP,0
2,1018,Medium,Graphs,0
2,1130,Easy,Greedy,0
2,1088,Medium,Greedy,0
2,1004,Medium,Graphs,0
2,1108,Easy,Trees,1
2,1126,Easy,Trees,0
3,1104,Hard,Greedy,0
3,1178,Medium,Strings,1
3,1063,Hard,Greedy,1
3,1079,Medium,Sorting,1
3,1170,Easy,Arrays,1
3,1149,Easy,DP,0
3,1095,Medium,Graphs,0
3,1122,Medium,Trees,0
3,1142,Easy,Greedy,1
3,1136,Medium,Arrays,1
3,1089,Medium,Sorting,1
3,1109,Easy,Sorting,1
3,1141,Medium,DP,1
3,1085,Easy,Arrays,0
3,1091,Hard,Greedy,0
3,1180,Hard,Math,0
3,1117,Easy,Graphs,1
3,1070,Hard,Graphs,1
3,1197,Medium,Math,0
3,1065,Medium,Arrays,0
3,1060,Hard,DP,0
3,1031,Medium,DP,1
3,1050,Hard,Trees,0
3,1081,Easy,Arrays,0
3,1179,Hard,Graphs,1
3,1138,Hard,Graphs,0
3,1048,Hard,Graphs,0
3,1199,Easy,Greedy,1
3,1056,Hard,Strings,0
3,1124,Hard,Greedy,0
3,1071,Easy,Sorting,0
3,1151,Easy,Sorting,1
